Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nigeria,NGA,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,8.218357045,9.843123713,8.070036107,8.896911861,8.451010967,8.425299346,8.111026187,13.38804624,18.57314846,19.60352905,13.45939569,11.03213887,10.58945171,11.52442728,13.29021224,13.0669468,14.59720572,12.77727053,10.17951163,10.43072948,11.22806863,12.19744897,12.90952619,17.58640005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank Credit to the Private Sector ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
